X,Y,PARENT_REF,PARENT_R_1,AGENCY_REF,AGENCY_NAM,AGENCY_N_1,ADDRESS,CITY,STATE,ZIPCODE,ADDRESS_FU,PROGRAM,SHOPPING_L,FAMILY_MAR,JOYFUL_MAR,GROCERY_PL,HEALTH_CAR,MOBILE_MAR,PARTNER_DI,WEEKEND_BA,TOTAL_POUN,XCOORD,YCOORD,LATITUDE,LONGITUDE,MAR_ID,BROWN_BAG,KIDS_CAFE,COMMUNITY,GIS_ID,GLOBALID,CREATOR,CREATED,EDITOR,OBJECTID,EDITED
-8570425.70156239,4710477.56345911,6180,0,6180-CF,Israel Baptist Community Site, ,1251 Saratoga AVE NE,Washington,DC,20018,1251 Saratoga AVE NE Washington DC 20018,Direct Distributions,0, , ,"15,134", ,0,0, ,15134.435,400923.31,139312,38.92168021,-76.98935267,69666,0, , ,Emergency_Food_Providers_85,{005EFE1B-ECB4-4FB8-AD6B-55E6A9DE618D},,,,264,
-8563757.55299946,4710450.52050012,9340,0,9340-01,Gospel Bearers Assembly International, ,2510 50th Ave.,Hyattsville,MD,20781,2510 50th Ave. Hyattsville MD 20781,Shopping,8597.92, , , , ,0,0, ,8597.92,,,,,,0, , ,Emergency_Food_Providers_86,{A1B5A005-9808-48A6-A027-57A6717BA1AA},,,,265,
-8557039.09918543,4710433.02149335,7673,0,Multiple,Excel Academy, ,7910 Scott Road,Landover,MD,20785,7910 Scott Road Landover MD 20785,Direct Distributions,0,"17,851", , , ,0,0, ,24011.645,,,,,,0,6160.62, ,Emergency_Food_Providers_87,{E7E5C960-FE8E-46FD-B15E-5BCDEC2E0D6C},,,,266,
-8566828.89068397,4710440.69103913,8145,8485,Multiple,3298 Fort Lincoln The Petersburg Residential Site,The Petersburg - Ft. Lincoln III,3298 Fort Lincoln DR NE,Washington,DC,20018,3298 Fort Lincoln DR NE Washington DC 20018,Direct Distributions,0, , ,"51,726", ,0,0, ,73267.435,396757.76,140539.45,38.93273197,-77.03739433,284055,21541.7, , ,Emergency_Food_Providers_88,{17D93E31-3249-429E-BD47-445E6D639260},,,,267,
-8574608.34204075,4710329.48720342,5010,0,Multiple,Garfield Terrace, ,2301 11th Street NW,Washington,DC,20001,2301 11th Street NW Washington DC 20001,Shopping & Direct Distribution,493.5, , ,"35,191", ,76703,0,2999.16,115387.061,399881.71,130079.64,38.83851166,-77.0013625,294567,0, , ,Emergency_Food_Providers_89,{9BC0265B-7F21-4E04-A332-7B74E8B5C1AD},,,,268,
-8571394.05880192,4710195.36414463,9227,0,Multiple,Crowder Owen's Food Pantry, ,600 W St. NE,Washington,DC,20002,600 W St. NE Washington DC 20002,Shopping & Direct Distribution,79165.516, , ,"2,175", ,0,0, ,81340.076,400158.24,139108.41,38.91984668,-76.99817527,290190,0, , ,Emergency_Food_Providers_90,{475FDC21-1568-4B7B-A83E-AD1026B27174},,,,269,
-8574692.46620377,4710152.62565061,8190,0,8190-CF,Casa Iris Residential Site, ,2201 12th ST NW,Washington,DC,20009,2201 12th ST NW Washington DC 20009,Direct Distributions,0, , ,"14,824", ,0,0, ,14824.496,397585.6,139073.96,38.91953304,-77.02784129,238964,0, , ,Emergency_Food_Providers_91,{83903EA4-5EBC-4197-B068-9B5A2B94579E},,,,270,
-8575199.23720486,4710005.68555559,4735,0,Multiple,Martha's Table, ,2114 14th St NW,Washington,DC,20009,2114 14th St NW Washington DC 20009,Shopping & Direct Distribution,337591.59, , , , ,0,1647, ,339238.59,397194.29,138979.35,38.9186796,-77.03235324,243001,0, , ,Emergency_Food_Providers_92,{A5D63EF2-9D95-4CF2-868B-616B323F36B1},,,,271,
-8559117.155489,4709972.29093865,5060,0,5060-02,Elderly World LLC, ,2011 Kent Village Drive,Landover,MD,20785,2011 Kent Village Drive Landover MD 20785,Shopping,2512.1, , , , ,0,0, ,2512.1,,,,,,0, , ,Emergency_Food_Providers_93,{D55E211A-7CBC-4F99-8800-54793ECEC515},,,,272,
-8557312.27677587,4709897.03339613,8500,0,Multiple,Victory House of Palmer Park, ,7801 Barlowe Road,Landover,MD,20785,7801 Barlowe Road Landover MD 20785,Direct Distributions,0, , , , ,0,0,132,5589.211,,,,,,5457.211, , ,Emergency_Food_Providers_94,{9750ACFF-2016-4CE0-BF86-0FDFA5AB36C8},,,,273,
-8554315.8796289,4709885.20125647,1010,0,1010-43,St. Joseph Catholic Church, ,2020 St. Joseph Drive,Largo,MD,20774,2020 St. Joseph Drive Largo MD 20774,Shopping,4918.5, , , , ,0,0, ,4918.5,,,,,,0, , ,Emergency_Food_Providers_95,{44B5F4DE-5730-455E-8F95-A4BA18B7C63B},,,,274,
-8562835.15926359,4709882.35358981,9409,0,9409-01,Morning Star Church of Christ, ,5728 Tuxedo Road,Hyattsville,MD,20781,5728 Tuxedo Road Hyattsville MD 20781,Shopping,217.64, , , , ,0,0, ,217.64,,,,,,0, , ,Emergency_Food_Providers_96,{2799BB45-4BEC-4961-B5B3-8DEBF850CAEB},,,,275,
-8572640.98144706,4709633.56331986,4265,0,4265-01,St. Martins Social Service, ,1908 N  Capitol St  NW,Washington,DC,20002,1908 N  Capitol St  NW Washington DC 20002,Shopping,6620.69, , , , ,0,0, ,6620.69,399190.9,138672.99,38.91592391,-77.00932954,300441,0, , ,Emergency_Food_Providers_97,{60CEDC0E-A052-41DE-873A-57FD208A2730},,,,276,
-8573013.65791501,4709625.39461597,9015,0,Multiple,Nazarene Outpost Food Dist Program, ,111 Rhode Island Ave NW,Washington,DC,20017,111 Rhode Island Ave NW Washington DC 20017,Shopping & Direct Distribution,19550.881, , , , ,0,20243, ,39793.881,402371.15,131358.56,38.85002989,-76.97268406,146748,0, , ,Emergency_Food_Providers_98,{B3B20B0A-C46E-40AB-B3DD-D95A32AC399A},,,,277,
-8558482.67852435,4709481.52223129,7150,0,Multiple,Summer Ridge Community Center, ,1837 Belle Haven Dr,Landover,MD,20785,1837 Belle Haven Dr Landover MD 20785,Direct Distributions,0, , , , ,0,0,"4,474",10730,,,,,,0,6256.34, ,Emergency_Food_Providers_99,{10F2B1A8-FC15-4988-86A5-2608486976D3},,,,278,
-8575707.19985793,4709414.50865611,5610,0,Multiple,Food For All, ,1810 16th St NW,Washington,DC,20009,1810 16th St NW Washington DC 20009,Shopping & Direct Distribution,47985.341, , , , ,0,0, ,51511.149,396801.6,138497.86,38.91434083,-77.03687919,241913,3525.808, , ,Emergency_Food_Providers_100,{CD81BE00-82A6-4B8A-BAC0-DE730B5D3319},,,,279,
-8558004.36114271,4709366.79639116,6505,0,6505-01,City of Praise Family Ministries, ,8501 Jericho City & Bishop Peebles,Landover,MD,20785,8501 Jericho City & Bishop Peebles Landover MD 20785,Shopping,137285.846, , , , ,0,0, ,137285.846,,,,,,0, , ,Emergency_Food_Providers_101,{341AF9D5-CCCD-44A3-9C8C-1F04A0A05854},,,,280,
-8574064.13524118,4709295.34840995,6340,0,Multiple,Lincoln Westmoreland, ,1730 7th Street NW,Washington,DC,20001,1730 7th Street NW Washington DC 20001,Direct Distributions,0, , , , ,0,0,65,5145.109,398076.62,138398.77,38.91345191,-77.02217728,279356,5080.109, , ,Emergency_Food_Providers_102,{129E5894-910A-4E00-A760-E4A1CA8ABD50},,,,281,
-8575123.82951736,4709132.38146252,4500,0,4500-BB,Central Union Mission, ,1350 R St NW,Washington,DC,20019,1350 R St NW Washington DC 20019,Direct Distributions,0, , , , ,0,0, ,4080.145,400641.56,141130.75,38.93806432,-76.99260002,74603,4080.145, , ,Emergency_Food_Providers_103,{2DC27294-BBE3-4D9A-BF9B-68563F36F791},,,,282,
-8574550.82357275,4709125.29990197,8150,0,8150-CF,Tenth Street Baptist Community Site, ,1000 R ST NW,Washington,DC,20001,1000 R ST NW Washington DC 20001,Direct Distributions,0, , ,"16,791", ,0,0, ,16791.322,397172.36,137624.15,38.90647143,-77.03260054,243014,0, , ,Emergency_Food_Providers_104,{E392F625-6FD6-4FBB-945A-F58BA917C3DA},,,,283,
-8574800.17904386,4709053.26706433,9502,0,9502-01,Vermont Avenue Baptist Church, ,"1630 Vermont Avenue, NW",Washington,DC,20009,"1630 Vermont Avenue, NW Washington DC 20009",Shopping,2941.415, , , , ,0,0, ,2941.415,397504.62,138219.47,38.91183528,-77.028772,243277,0, , ,Emergency_Food_Providers_105,{61789111-2EA3-4DDF-B060-EC5544DEDAD1},,,,284,
-8569896.48830292,4709043.96880178,9620,0,9620-01,Gateway to Heaven Pentecostal Holiness Church, ,"1910 West Virginia Ave., NE",Washington,DC,20002,"1910 West Virginia Ave., NE Washington DC 20002",Shopping,6100.597, , , , ,0,0, ,6100.597,398227.02,137683.73,38.9070109,-77.02044126,296144,0, , ,Emergency_Food_Providers_106,{52338E62-C1ED-42BA-AF1E-D291D72CC749},,,,285,
-8573931.7426976,4709014.01155731,8315,0,8315-CF,Asbury Dwelling Residential Site, ,1616 Marion St NW,Washington,DC,20001,1616 Marion St NW Washington DC 20001,Direct Distributions,0, , ,"14,457", ,0,0, ,14457.187,405211.23,135490.54,38.8872402,-76.93993468,19536,0, , ,Emergency_Food_Providers_107,{6A94C065-E815-4F04-9613-148EDE4545E1},,,,286,
-8574006.46030213,4708834.31175509,4050,0,Multiple,Bread For The City, ,1525 7th Street NW,Washington,DC,20001,1525 7th Street NW Washington DC 20001,Shopping & Direct Distribution,397768.75, , , , ,139094,925, ,537787.75,398124.44,138052.42,38.91033198,-77.02162495,297622,0, , ,Emergency_Food_Providers_108,{15BDD3A0-225D-4B7E-BCF0-65992B59CC00},,,,287,
-8564422.37574554,4708772.19441865,9338,0,Multiple,RCCG New Wine Assembly, ,1515 Kenilworth Ave NE,Washington,DC,20019,1515 Kenilworth Ave NE Washington DC 20019,Shopping & Direct Distribution,28988.869, , , , ,0,0, ,29972.709,405593.42,138001.28,38.90985549,-76.93550906,61915,0,983.84, ,Emergency_Food_Providers_546,{6BF9B85A-13B4-4943-84C4-73193C31837E},,,,288,
-8574303.03748087,4708705.12955486,8195,0,8195-BB,Emmaus Services for the Aging, ,1426 9th Street NW,Washington,DC,20001,1426 9th Street NW Washington DC 20001,Direct Distributions,0, , , , ,0,0, ,2412.524,397902.33,137950.53,38.90941362,-77.02418554,243060,2412.524, , ,Emergency_Food_Providers_547,{7FC52945-951B-4A53-8B44-88770040C309},,,,289,
-8574011.34762846,4708675.77278272,7548,0,7548-AM,Kennedy Recreation Center, ,1401 7th St NW,Washington,DC,20005,1401 7th St NW Washington DC 20005,Direct Distributions,0, , , , ,0,0, ,4971.6,398132.08,137903.46,38.90899011,-77.02153646,279127,0,4971.6, ,Emergency_Food_Providers_548,{3F804FA3-5AE4-4B5B-838A-16A55483EA47},,,,290,
-8572107.1270625,4708643.42858317,9524,0,9524-01,Peace Meal Ministry, ,"206 New York Ave., NW",Washington,DC,20002,"206 New York Ave., NW Washington DC 20002",Shopping,14491.408, , , , ,0,0, ,14491.408,398796.72,137505.87,38.90540964,-77.0138727,279528,0, , ,Emergency_Food_Providers_549,{23376B63-D8E9-4301-A9B5-CF48B8344DD4},,,,291,
-8572747.23621683,4708603.12861068,9667,0,9667-01,House of Lebanon, ,"27 O St., NW",Washington,DC,20001,"27 O St., NW Washington DC 20001",Shopping,3819, , , , ,0,0, ,3819,399108.89,137883.65,38.90881319,-77.01027416,294464,0, , ,Emergency_Food_Providers_550,{2FA934EF-33C6-4453-8C3E-4E4F1766010A},,,,292,
-8572844.59582052,4708556.57813571,4030,0,4030-01,So Others Might Eat, ,71 O St NW,Washington,DC,20001,71 O St NW Washington DC 20001,Shopping,14722.351, , , , ,0,0, ,14722.351,400004.03,134320.02,38.87671114,-76.99995356,155956,0, , ,Emergency_Food_Providers_551,{401C0B7A-C286-423E-961C-6F8634F719F3},,,,293,
-8564081.32593653,4708544.79024966,7554,0,7554-AM,Deanwood Recreation Center, ,1350 49th Street NE,Washington,DC,20019,1350 49th Street NE Washington DC 20019,Direct Distributions,0, , , , ,0,0, ,4450.8,401040.96,135834.38,38.89035247,-76.98800124,68827,0,4450.8, ,Emergency_Food_Providers_552,{984A79F2-334A-451C-BCE5-0101A2A2870E},,,,294,
-8574010.15638219,4708495.66494468,6795,0,6795-MM,Gibson Plaza Apts., ,1301 7th St NW Apt 506,Washington,DC,20001,1301 7th St NW Apt 506 Washington DC 20001,Direct Distributions,0, , , , ,71352.75,0, ,71352.75,398121.98,137787.14,38.90794224,-77.02165259,238632,0, , ,Emergency_Food_Providers_553,{B2CCE33A-510E-4089-B334-661A9CC12CC9},,,,295,
